,Datum,Tijd,Parameter,Locatie,Waarde,Verwachting,Eenheid,Windrichting,Windrichting eenheid,Bemonsteringshoogte,Referentievlak,Unnamed: 11
107,29-4-2021,07:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.86,,m/s,343.8,graden,2910.0,NVT,
108,29-4-2021,07:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.58,,m/s,340.8,graden,2910.0,NVT,
109,29-4-2021,07:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.64,,m/s,337.9,graden,2910.0,NVT,
110,29-4-2021,07:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.3,,m/s,336.4,graden,2910.0,NVT,
111,29-4-2021,08:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.15,,m/s,337.8,graden,2910.0,NVT,
112,29-4-2021,08:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.17,,m/s,331.6,graden,2910.0,NVT,
113,29-4-2021,08:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.21,,m/s,335.2,graden,2910.0,NVT,
114,29-4-2021,08:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.46,,m/s,332.6,graden,2910.0,NVT,
115,29-4-2021,08:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.72,,m/s,330.0,graden,2910.0,NVT,
116,29-4-2021,08:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.91,,m/s,334.6,graden,2910.0,NVT,
117,29-4-2021,09:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.72,,m/s,329.2,graden,2910.0,NVT,
118,29-4-2021,09:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.98,,m/s,327.5,graden,2910.0,NVT,
119,29-4-2021,09:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,12.21,,m/s,328.0,graden,2910.0,NVT,
120,29-4-2021,09:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.95,,m/s,329.1,graden,2910.0,NVT,
121,29-4-2021,09:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.93,,m/s,329.2,graden,2910.0,NVT,
122,29-4-2021,09:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.34,,m/s,324.9,graden,2910.0,NVT,
123,29-4-2021,10:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,12.21,,m/s,326.4,graden,2910.0,NVT,
124,29-4-2021,10:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,12.19,,m/s,325.1,graden,2910.0,NVT,
125,29-4-2021,10:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,12.05,,m/s,326.0,graden,2910.0,NVT,
126,29-4-2021,10:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,12.12,,m/s,322.5,graden,2910.0,NVT,
127,29-4-2021,10:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.49,,m/s,325.2,graden,2910.0,NVT,
128,29-4-2021,10:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.63,,m/s,326.8,graden,2910.0,NVT,
129,29-4-2021,11:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.29,,m/s,328.2,graden,2910.0,NVT,
130,29-4-2021,11:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.58,,m/s,327.9,graden,2910.0,NVT,
131,29-4-2021,11:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.63,,m/s,324.6,graden,2910.0,NVT,
132,29-4-2021,11:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.34,,m/s,327.0,graden,2910.0,NVT,
133,29-4-2021,11:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.53,,m/s,328.1,graden,2910.0,NVT,
134,29-4-2021,11:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.92,,m/s,326.8,graden,2910.0,NVT,
135,29-4-2021,12:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.96,,m/s,327.8,graden,2910.0,NVT,
136,29-4-2021,12:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.49,,m/s,329.4,graden,2910.0,NVT,
137,29-4-2021,12:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.8,,m/s,328.6,graden,2910.0,NVT,
138,29-4-2021,12:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.2,,m/s,329.9,graden,2910.0,NVT,
139,29-4-2021,12:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.33,,m/s,330.4,graden,2910.0,NVT,
140,29-4-2021,12:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.79,,m/s,332.7,graden,2910.0,NVT,
141,29-4-2021,13:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.35,,m/s,335.2,graden,2910.0,NVT,
142,29-4-2021,13:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.22,,m/s,333.2,graden,2910.0,NVT,
143,29-4-2021,13:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.81,,m/s,329.8,graden,2910.0,NVT,
144,29-4-2021,13:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.28,,m/s,326.0,graden,2910.0,NVT,
145,29-4-2021,13:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.19,,m/s,327.4,graden,2910.0,NVT,
146,29-4-2021,13:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.89,,m/s,324.3,graden,2910.0,NVT,
147,29-4-2021,14:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.36,,m/s,319.9,graden,2910.0,NVT,
148,29-4-2021,14:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,7.79,,m/s,317.8,graden,2910.0,NVT,
149,29-4-2021,14:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.01,,m/s,322.0,graden,2910.0,NVT,
150,29-4-2021,14:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,7.97,,m/s,313.4,graden,2910.0,NVT,
151,29-4-2021,14:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.72,,m/s,307.2,graden,2910.0,NVT,
152,29-4-2021,14:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.81,,m/s,301.5,graden,2910.0,NVT,
153,29-4-2021,15:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.31,,m/s,306.2,graden,2910.0,NVT,
154,29-4-2021,15:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.35,,m/s,307.1,graden,2910.0,NVT,
155,29-4-2021,15:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.55,,m/s,302.3,graden,2910.0,NVT,
156,29-4-2021,15:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.43,,m/s,305.5,graden,2910.0,NVT,
157,29-4-2021,15:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.37,,m/s,303.6,graden,2910.0,NVT,
158,29-4-2021,15:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.19,,m/s,300.3,graden,2910.0,NVT,
159,29-4-2021,16:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.4,,m/s,299.7,graden,2910.0,NVT,
160,29-4-2021,16:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.7,,m/s,299.3,graden,2910.0,NVT,
161,29-4-2021,16:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.11,,m/s,299.3,graden,2910.0,NVT,
162,29-4-2021,16:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.76,,m/s,304.9,graden,2910.0,NVT,
163,29-4-2021,16:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.37,,m/s,307.3,graden,2910.0,NVT,
164,29-4-2021,16:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.54,,m/s,302.7,graden,2910.0,NVT,
165,29-4-2021,17:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.66,,m/s,301.8,graden,2910.0,NVT,
166,29-4-2021,17:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.87,,m/s,302.2,graden,2910.0,NVT,
167,29-4-2021,17:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.68,,m/s,302.3,graden,2910.0,NVT,
168,29-4-2021,17:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.29,,m/s,299.2,graden,2910.0,NVT,
